Institute,Users,Votes,Up,Down,Comments,Posts,DateStarted
DARK,82,9982,9809,173,23,1,06/28/2010
UCR,32,4517,4485,32,0,7,04/11/2011
STScI/JHU,61,4345,4284,61,1,0,01/31/2011
Yale,47,3699,3642,57,3,11,01/30/2012
PUC-Institute of Astrophysics,59,3553,3493,60,2,0,02/03/2011
NTHU,23,3311,3288,23,2,0,01/20/2014
UCSC,108,2950,2842,108,52,245,07/30/2009
U. Pittsburgh,46,2749,2694,55,4,6,02/10/2011
AIfA-Cosmo,26,2611,2584,27,26,4,11/14/2011
LAM,53,2558,2505,53,2,0,01/13/2011
CEA Saclay,49,2269,2214,55,2,0,12/02/2010
unaffiliated,334,2226,1890,336,8,206622,12/06/2010
Harvard ITC,92,2061,1967,94,65,105,08/06/2012
University of Maryland,71,2012,1941,71,3,2,10/04/2012
Columbia,63,1906,1834,72,8,3,09/09/2010
AIfA,34,1829,1795,34,4,0,07/12/2010
Osservatorio Astrofisico di Arcetri - Extragalactic,21,1714,1689,25,3,0,01/17/2013
RSAA-ANU,40,1708,1668,40,2,2,08/22/2013
UMass Amherst,24,1656,1632,24,1,0,11/07/2013
UCB,89,1614,1525,89,10,6,08/26/2010
UCI,34,1612,1572,40,5,0,01/24/2013
Durham University,53,1584,1531,53,1,4,10/18/2012
"U. of Sussex, Astronomy Centre",33,1521,1488,33,2,0,09/19/2013
Caltech,53,1507,1454,53,0,3,07/12/2010
Cornell,36,1491,1455,36,7,23,08/02/2012
UCSB,25,1462,1437,25,0,0,03/08/2012
IAS Orsay,36,1449,1413,36,1,7,04/04/2011
Rutgers,44,1442,1398,44,5,2,09/12/2011
CEFCA,18,1420,1402,18,5,0,06/27/2013
ASIAA,44,1409,1365,44,3,5,01/27/2011
EPFL - UniGe,41,1404,1361,43,3,0,01/12/2012
Stanford,85,1404,1319,85,26,2,08/09/2012
"U. de Concepcion: Planetary, Stellar, Galactic, Extragalactic papers",22,1376,1354,22,0,0,03/21/2013
Texas A&M,30,1339,1309,30,4,6,11/21/2011
UMN,19,1328,1306,22,1,1,12/08/2011
"IfA, University of Hawaii",45,1267,1222,45,3,3,09/20/2012
Vanderbilt,36,1221,1185,36,1,0,08/09/2012
UT Austin,79,1182,1103,79,2,9,07/18/2011
CU Boulder,15,1153,1136,17,10,1,11/04/2010
INAF-OAR,41,1098,1038,60,7,0,01/28/2013
Weizmann Institute of Science,20,1097,1077,20,0,0,09/11/2014
ASU Astro,38,1079,1041,38,0,3,08/11/2011
