Date,Title
12/17/2014,The velocity distribution in the solar neighbourhood from the LAMOST pilot survey
12/17/2014,"High-contrast Imaging with Spitzer: Deep Observations of Vega, Fomalhaut, and epsilon Eridani"
12/16/2014,A Measurement of the Cosmic Microwave Background Gravitational Lensing Potential from 100 Square Degrees of SPTpol Data
12/15/2014,Photometric Calibration on Lunar-based Ultraviolet Telescope for Its First Six Months of Operation on Lunar Surface
12/15/2014,ALMA observations of alpha Centauri: First detection of main-sequence stars at 3mm wavelength
12/15/2014,High-level numerical simulations of noise in CCD and CMOS photosensors: review and tutorial
12/12/2014,galpy: A Python Library for Galactic Dynamics
12/10/2014,An ALMA Disk Mass for the Candidate Protoplanetary Companion to FW Tau
12/05/2014,The Mass Distribution of Companions to Low-Mass White Dwarfs
12/01/2014,The MUSE 3D view of the Hubble Deep Field South
11/20/2014,Introduction to astroML: Machine Learning for Astrophysics
11/20/2014,Frequentism and Bayesianism: A Python-driven Primer
11/19/2014,Census of HII regions in NGC 6754 derived with MUSE: Constraints on the metal mixing scale
10/31/2014,WISE photometry for 400 million SDSS sources
10/31/2014,The power spectrum of the Milky Way: Velocity fluctuations in the Galactic disk
10/31/2014,IZI: Inferring the Gas Phase Metallicity (Z) and Ionization Parameter (q) of Ionized Nebulae using Bayesian Statistics
10/27/2014,PyNeb: a new tool for analyzing emission lines. I. Code description and validation of results
10/27/2014,On the Cool Side: Modeling the Atmospheres of Brown Dwarfs and Giant Planets
10/22/2014,The Evolution of the Galaxy Rest-Frame Ultraviolet Luminosity Function Over the First Two Billion Years
10/06/2014,The Physics of Gamma-Ray Bursts and Relativistic Jets
10/02/2014,MUSE discovers perpendicular arcs in Cen A inner filament
10/02/2014,Fluctuation Spectroscopy: A New Probe of Old Stellar Populations
10/02/2014,Emission from Pair-Instability Supernovae with Rotation
10/02/2014,The Stellar Mass of M31 as inferred by the Andromeda Optical & Infrared Disk Survey
10/01/2014,Indications of M-dwarf Deficits in the Halo and Thick Disk of the Galaxy
09/30/2014,"Kepler-424 b: A ""Lonely"" Hot Jupiter That Found A Companion"
09/30/2014,The Overlooked Potential of Generalized Linear Models in Astronomy - I: Binomial Regression and Numerical Simulations
09/30/2014,The Exoplanet Orbit Database II: Updates to exoplanets.org
09/15/2014,Gender-based Systematics in HST Proposal Selection
09/12/2014,MUSE integral-field spectroscopy towards the Frontier Fields Cluster Abell S1063: I. Data products and redshift identifications
09/11/2014,The Mid-infrared E-ELT Imager and Spectrograph (METIS)
09/10/2014,On the age of the β Pictoris moving group
09/10/2014,"Planck intermediate results. XXIX. All-sky dust modelling with Planck, IRAS, and WISE observations"
09/09/2014,The AMBRE Project: Parameterisation of FGK-type stars from the ESO:HARPS archived spectra
09/09/2014,Tau-REx I: A next generation retrieval code for exoplanetary atmospheres
09/05/2014,Stellar Chemical Abundances: In Pursuit of the Highest Achievable Precision
09/04/2014,The Panchromatic Hubble Andromeda Treasury X. Ultraviolet to Infrared Photometry of 117 Million Equidistant Stars
09/04/2014,Disentangling Planets and Stellar Activity for Gliese 667C
09/01/2014,Warm Dust around Cool Stars: Field M Dwarfs with WISE 12 or 22 Micron Excess Emission
08/20/2014,Investigating Brown Dwarf Variability at 3.4 & 4.6{\mu}m with AllWISE Multi-Epoch Photometry
08/20/2014,The Solar Twin Planet Search. I. Fundamental parameters of the stellar sample
08/19/2014,A Technique to Derive Improved Proper Motions for Kepler Objects of Interest
08/19/2014,A Technique for Extracting Highly Precise Photometry for the Two-Wheeled Kepler Mission
08/19/2014,"Line lists for the A2PI-X2Sigma+ (red) and {B2Sigma+-X2Sigma} (violet) Systems of CN, 13C14N, and 12C15N, and Application to Astronomical Spectra"
05/05/2014,unWISE: unblurred coadds of the WISE imaging
05/02/2014,Lens models and magnification maps of the six Hubble Frontier Fields clusters
05/01/2014,A Laboratory log(gf) Measurement of the Ti II 15873.84 {\AA} H-band Line in Support of SDSS-III APOGEE
05/01/2014,Doppler Imaging of Exoplanets and Brown Dwarfs
05/01/2014,The fast spin-rotation of a young extrasolar planet
04/28/2014,Characterization of High Proper Motion Objects from the Wide-field Infrared Survey Explorer
04/28/2014,Discovery of a ~250 K Brown Dwarf at 2 pc from the Sun
09/03/2013,Habitable Planets Around White Dwarfs: an Alternate Mission for the Kepler Spacecraft
08/30/2013,The changing Lya optical depth in the range 6<z<9 from MOSFIRE spectroscopy of Y-dropouts
08/26/2013,Hunting for Extremely Faint Planetary Nebulae in the SDSS Spectroscopic Database
08/14/2013,On the detection and tracking of space debris using the Murchison Widefield Array. I. Simulations and test observations demonstrate feasibility
08/14/2013,The Stellar Halos of Massive Elliptical Galaxies II: Detailed Abundance Ratios at Large Radius
