User,Votes,Up,Down,Comments,Posts,DateUser,Affiliation
tomo,2348,2348,0,0,0,07/05/2012,NTHU
Reiko,1902,1902,0,21,1,11/13/2011,AIfA-Cosmo
Franz Bauer,1384,1382,2,0,0,03/26/2011,PUC-Institute of Astrophysics
Brian Siana,1361,1361,0,0,0,08/18/2010,UCR
Andrew Zentner,1214,1212,2,0,3,02/15/2011,U. Pittsburgh
hcferguson,1184,1184,0,0,0,09/12/2011,STScI/JHU
kwillett,1173,1169,4,1,0,11/05/2010,UMN
Evan Kirby,1119,1119,0,0,2,06/24/2010,Caltech
vdbosch,1068,1057,11,0,0,01/27/2012,Yale
Johan,942,942,0,14,0,07/01/2010,DARK
Joo Heon Yoon,888,887,1,0,0,09/16/2010,UCSB
Cara Battersby,870,870,0,1,0,11/05/2010,CU Boulder
molly,864,864,0,0,0,09/28/2011,STScI/JHU
chunly,826,825,1,0,0,04/28/2011,NASA GSFC Extragalactic
pela,806,804,2,0,0,07/07/2010,DARK
GL,797,796,1,0,0,07/01/2010,Weizmann Institute of Science
James Guillochon,779,777,2,45,114,07/25/2009,Harvard ITC
jlu,765,765,0,1,1,06/27/2010,"IfA, University of Hawaii"
shooby,745,745,0,0,0,04/09/2011,UCR
Geier,701,661,40,4,0,07/01/2010,DARK
Shami Chatterjee,697,696,1,3,16,07/30/2012,Cornell
marianojavierdeleon,688,688,0,0,0,04/15/2012,IATE
anahita alavi,654,654,0,0,0,04/09/2011,UCR
azirm,650,639,11,0,0,07/01/2010,DARK
steen h,643,642,1,0,0,07/01/2010,DARK
mtsargent,639,639,0,0,0,01/10/2011,"U. of Sussex, Astronomy Centre"
tpuzia,629,628,1,1,0,01/30/2011,PUC-Institute of Astrophysics
KP,622,609,13,0,0,07/01/2010,DARK
VarunBhalerao,592,591,1,0,0,10/19/2011,IUCAA
Nathan Goldbaum,577,577,0,19,23,08/30/2009,UCSC
jmackey,577,577,0,0,0,08/12/2010,AIfA
marceau,571,571,0,0,0,01/20/2011,LAM
edaddi,565,565,0,0,0,12/02/2010,CEA Saclay
hdole,559,559,0,0,0,04/01/2011,IAS Orsay
Cristobal,509,509,0,0,0,03/27/2011,Leiden
oshaughn,501,501,0,2,12,11/11/2010,RIT-CCRG
clsj,491,491,0,0,0,01/17/2011,CEFCA
lidia,490,490,0,1,0,12/10/2010,LAM
cschimd,483,483,0,0,0,03/23/2011,LAM
Laura Lopez,481,479,2,6,2,08/14/2009,Harvard ITC
annag,469,469,0,0,0,01/31/2011,Osservatorio Astrofisico di Arcetri - Extragalactic
jcuadra,464,464,0,0,0,03/27/2011,PUC-Institute of Astrophysics
pnair,464,464,0,0,0,01/25/2012,STScI/JHU
yuan,463,462,1,0,0,09/14/2010,Columbia
szibetti,461,456,5,1,0,10/12/2010,Osservatorio Astrofisico di Arcetri - Extragalactic
martin,453,453,0,0,0,08/22/2013,RSAA-ANU
sutirtha,445,444,1,1,0,10/23/2012,AIfA
Mariana Lazarova,434,434,0,0,0,04/05/2011,UCR
Katie Jameson,431,431,0,0,2,10/02/2012,University of Maryland
J.D.Bradford,430,429,1,1,0,10/05/2012,Yale
mpannella,429,429,0,0,0,12/02/2010,CEA Saclay
Marcel Haas,424,423,1,0,1,12/15/2010,Rutgers
Xing Lu,406,406,0,1,0,11/20/2012,Nanjing University
Erik Tollerud,405,404,1,0,1,09/05/2012,Yale
Bo Milvang-Jensen,397,397,0,1,0,07/05/2010,DARK
adegr001,384,384,0,0,0,04/19/2011,UCR
jselsing,382,382,0,0,0,05/07/2013,DARK
Professor X,376,376,0,0,0,09/04/2009,UCSC
SViaene,375,375,0,2,0,11/22/2012,Ghent University
wojtak,360,360,0,0,0,09/06/2010,DARK
danichao,360,360,0,0,0,04/08/2014,NTHU
Alexander Mendez,358,358,0,0,0,11/23/2011,Johns Hopkins
Teddy,355,344,11,0,0,07/01/2010,DARK
duncan.campbell,350,350,0,0,0,01/30/2012,Yale-LSS
